123,ali,FullTime,2025-06-12 16:21:00
234,abu,PartTime,2025-06-12 16:21:45
123,alice,FullTime,2025-06-12 16:37:52
456,chloe,PartTime,2025-06-12 16:38:41
345,alex,FullTime,2025-06-12 16:43:29
899,ben,PartTime,2025-06-12 16:43:40
12345,ali,FullTime,2025-06-20 08:52:41
2345,abu,PartTime,2025-06-20 09:10:28
7878,alex,FullTime,2025-06-20 09:10:43
123,123,FullTime,2025-06-20 09:19:32
123,naim dw,FullTime,2025-06-20 09:23:22
123,naim,FullTime,2025-06-20 09:33:06
432,main,PartTime,2025-06-20 09:33:19
1234,ali,FullTime,2025-06-20 09:59:27
3333,alex,PartTime,2025-06-20 09:59:52
123,abu,FullTime,2025-06-20 10:07:26
454rr,naim,PartTime,2025-06-20 10:07:59
123,ali,FullTime,2025-06-20 10:14:42
333,abu,PartTime,2025-06-20 10:14:59
0,naim,FullTime,2025-06-20 10:17:48
123,po,PartTime,2025-06-20 10:18:10
123,ho,FullTime,2025-06-20 10:18:46
123,ali,FullTime,2025-06-20 10:31:21
333,abu,PartTime,2025-06-20 10:31:50
123,ali,PartTime,2025-06-20 10:36:33
000,sdadad,FullTime,2025-06-20 10:37:06
123,we,FullTime,2025-06-23 23:30:50
000,qewq,PartTime,2025-06-23 23:31:11
123,we,FullTime,2025-06-24 00:19:18
321,we,PartTime,2025-06-24 00:19:30
112,ali,FullTime,2025-06-24 09:38:40
